Actual,Predicted 0,Predicted 1,Predicted 2,Predicted 3,Predicted 4,Predicted 5,Predicted 6,Predicted 7,Predicted 8,Predicted 9,Predicted 10,Predicted 11,Predicted 12,Predicted13,Predicted 14,Predicted 15,Predicted 16,Predicted 17,Predicted 18,Predicted 19,Predicted 20,Predicted 21,Predicted 22,Predicted 23,Predicted 24,Predicted 25,Predicted 26,Predicted 27,Predicted 28,Predicted 29,Predicted 30
Actual 0,239,1,0,0,0,0,0,0,0,0,7,8,5,0,3,0,2,1,1,0,17,12,8,9,9,0,0,0,0,0,0
Actual 1,4,243,0,3,0,0,1,0,0,0,16,3,1,2,5,4,0,2,0,0,25,1,8,5,0,0,0,0,0,0,0
Actual 2,0,2,186,3,0,0,0,0,0,0,3,5,5,1,0,3,4,0,1,0,25,1,4,0,5,2,0,0,2,0,0
Actual 3,1,0,1,208,0,0,0,2,0,1,6,3,0,2,0,0,2,2,0,0,19,3,1,2,1,0,5,1,0,0,0
Actual 4,0,0,0,3,266,1,0,0,1,2,10,4,5,3,0,3,2,1,0,0,33,10,8,7,0,2,0,1,0,0,0
Actual 5,0,0,0,0,0,298,2,5,3,0,7,6,1,5,4,3,0,1,2,0,40,7,2,12,4,3,4,7,0,0,0
Actual 6,0,0,0,3,4,0,276,0,1,0,9,5,6,1,5,5,0,0,0,0,23,5,8,10,1,5,0,0,0,0,0
Actual 7,0,0,0,0,5,1,6,277,4,0,9,7,7,8,7,2,5,1,5,0,25,18,5,2,2,2,2,0,0,0,0
Actual 8,1,0,0,3,1,0,0,1,165,0,5,4,0,0,0,1,5,0,2,0,14,12,1,4,3,0,1,1,0,0,0
Actual 9,0,0,0,4,5,1,0,0,0,44,1,1,0,1,1,7,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Actual 10,4,14,0,3,9,3,8,7,3,1,2592,28,33,37,25,26,22,10,3,0,379,122,104,79,54,49,18,8,0,0,0
Actual 11,9,4,1,6,7,14,2,3,10,3,59,1381,31,46,23,16,14,13,5,0,159,70,81,48,39,21,9,3,6,0,0
Actual 12,9,8,0,3,9,3,8,1,1,5,53,26,1427,39,29,28,24,21,3,1,183,77,46,56,30,32,10,7,8,0,0
Actual 13,2,1,9,4,3,6,13,2,1,0,47,22,29,1549,36,17,18,7,6,0,197,95,65,49,37,20,13,6,2,2,0
Actual 14,8,3,6,13,1,3,2,3,4,2,49,27,19,17,1567,37,21,15,5,4,224,110,65,49,39,39,15,9,9,0,0
Actual 15,13,2,5,5,8,2,7,7,0,4,29,24,34,27,27,1540,13,11,0,0,171,86,73,46,54,38,33,21,1,0,0
Actual 16,5,2,2,3,4,3,3,0,3,5,64,21,18,17,32,25,1200,6,5,1,156,83,81,38,39,27,23,15,12,0,0
Actual 17,1,5,0,0,0,3,1,0,0,1,17,25,18,11,17,6,14,817,9,0,137,57,68,28,41,18,11,16,7,3,0
Actual 18,3,0,3,3,2,0,2,0,0,0,5,6,7,10,5,2,11,6,326,0,46,22,33,17,14,12,7,1,0,0,0
Actual 19,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,2,0,0,0,56,12,4,3,3,3,4,0,0,0,0,0
Actual 20,30,15,16,29,51,28,27,14,18,5,406,176,162,181,186,184,191,115,36,5,28081,1624,1297,1087,971,684,420,212,55,4,0
Actual 21,7,8,8,8,19,10,12,20,6,1,125,77,90,92,79,87,69,59,17,3,2049,14324,878,878,668,519,303,149,51,20,0
Actual 22,19,9,5,10,29,20,11,18,5,1,142,62,62,64,76,65,88,51,13,0,1823,891,13909,893,713,584,395,225,71,14,0
Actual 23,10,11,6,6,5,5,14,6,9,0,126,59,66,90,89,91,61,52,14,0,1701,981,955,13524,915,750,483,294,102,23,0
Actual 24,3,2,5,12,6,8,8,19,11,2,103,47,56,65,89,90,55,36,11,1,1534,927,912,956,13041,948,666,399,122,21,0
Actual 25,4,0,3,5,8,7,9,4,7,2,79,36,48,60,47,60,48,26,14,2,1209,682,807,969,1000,11313,836,429,225,36,0
Actual 26,0,1,5,8,5,10,11,5,13,0,65,24,42,45,44,61,44,29,21,2,814,471,630,662,820,920,9248,577,290,58,0
Actual 27,1,4,2,3,4,3,5,4,1,3,29,7,19,25,30,25,22,13,4,0,520,348,433,501,577,726,781,5800,361,92,0
Actual 28,0,0,2,1,1,1,1,0,2,1,19,7,9,22,20,13,17,8,2,1,250,152,174,212,323,406,460,500,2808,104,0
Actual 29,0,0,1,0,1,0,1,0,0,0,7,4,6,2,2,1,3,2,2,0,83,73,76,89,150,163,175,250,245,160,0
Actual 30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
