FACILITY_CITY,Count,Average,Median,Stdev,Min,Max
BURBANK,3067,94.7773,95,3.1193,77,100
LOS ANGELES,46800,93.434,94,3.9199,70,100
WEST COVINA,1898,93.0126,93,3.4644,72,100
AGOURA HILLS,486,95.537,96,2.781,82,100
BELL GARDENS,603,94.3167,95,3.468,80,100
HAWTHORNE,969,92.8679,93,3.6649,76,100
TARZANA,889,94.2598,95,3.3349,71,100
CULVER CITY,1797,92.7379,93,3.9001,70,100
SYLMAR,605,93.3025,94,3.1538,79,100
GRANADA HILLS,704,94.2571,95,3.3749,70,100
SANTA CLARITA,1204,95.196,96,3.1717,76,100
AZUSA,889,94.3307,95,3.3871,80,100
GLENDALE,3492,93.7975,94,3.0865,72,100
BEVERLY HILLS,1728,92.9965,93,3.0598,73,100
WEST HOLLYWOOD,1882,92.4325,93,3.5078,70,100
SAN DIMAS,671,95.0432,95,2.8671,80,100
SANTA FE SPRINGS,488,93.0656,93,3.5087,71,100
VAN NUYS,2510,93.8606,94,3.7132,71,100
COMPTON,1148,93.4155,94,4.1183,70,100
CANYON COUNTRY,660,95.0106,96,3.2293,78,100
ARCADIA,1923,93.9293,95,4.2406,70,100
TORRANCE,3439,92.0785,92,4.0755,70,100
SOUTH EL MONTE,675,94.6519,95,3.2127,80,100
NORTH HOLLYWOOD,2796,93.755,94,3.5007,70,100
RESEDA,971,93.8888,94,3.677,70,100
POMONA,1954,93.5844,94,3.4505,75,100
GLENDORA,917,94.3206,95,3.0452,71,100
SANTA MONICA,3595,93.8754,94,3.5971,70,100
WOODLAND HILLS,1657,95.3929,96,2.8251,77,100
SUNLAND,251,93.6773,94,2.4969,80,99
ROSEMEAD,939,94.1512,95,4.1181,74,100
MONTEREY PARK,1328,90.0279,91,5.7635,70,100
HACIENDA HEIGHTS,679,92.4772,93,4.3124,72,100
PARAMOUNT,768,94.2174,95,3.2513,76,100
LA VERNE,521,94.1555,94,2.891,80,100
REDONDO BEACH,1593,92.7627,93,3.8533,70,100
DOWNEY,1990,93.5598,94,3.4266,73,100
ENCINO,967,94.5222,95,3.3778,75,100
CLAREMONT,775,93.7342,94,2.8618,81,100
LA CRESCENTA,288,94.3819,95,3.0288,71,100
EL MONTE,1577,93.6696,94,3.6976,70,100
SOUTH GATE,1440,94.5167,95,3.867,70,100
SAN GABRIEL,1538,92.9798,94,4.5955,70,100
BELLFLOWER,942,93.6401,94,3.5075,72,100
WHITTIER,2089,93.8626,94,3.3757,74,100
VENICE,851,92.9553,93,3.7854,70,100
CITY OF INDUSTRY,51,94.2157,94,3.1393,90,100
SHERMAN OAKS,1647,93.9636,94,3.1703,75,100
MARINA DEL REY,848,93.1262,94,4.1558,70,100
MANHATTAN BEACH,901,93.0954,93,3.5921,72,100
CHATSWORTH,811,94.1751,95,4.0892,70,100
INGLEWOOD,1820,92.967,93,4.1487,70,100
NEWHALL,558,95.5072,96,3.3897,80,100
MONTEBELLO,1222,93.3134,94,3.9689,70,100
DIAMOND BAR,761,93.8029,94,3.6683,72,100
ALHAMBRA,1450,91.5841,92,5.1287,70,100
AVALON,169,86.1834,87,6.5341,70,99
BELL,427,94.4754,95,3.3284,80,100
HUNTINGTON PARK,1250,92.8784,94,4.03,72,100
LA PUENTE,863,92.6674,93,3.5339,75,100
CANOGA PARK,1338,94.0299,95,3.8821,73,100
NORTH HILLS,456,92.8399,93,3.2644,77,100
TEMPLE CITY,585,94.265,95,3.245,76,100
PICO RIVERA,988,93.7419,95,3.8763,73,100
TUJUNGA,311,93.3023,94,3.3062,71,100
LYNWOOD,935,94.092,95,3.8651,72,100
COVINA,1043,93.2464,93,3.38,70,100
PALMDALE,1803,94.7765,96,3.8395,70,100
CERRITOS,1205,92.1237,92,4.3761,71,100
WILMINGTON,549,92.6248,93,3.9122,70,100
NORWALK,1140,93.1965,94,4.3022,74,100
STUDIO CITY,1320,93.8667,94,3.3843,71,100
LANCASTER,1985,94.4539,95,3.5863,73,100
NORTHRIDGE,2215,94.8989,95,3.479,74,100
ROWLAND HEIGHTS,1252,91.1078,91,4.7401,70,100
LAKEWOOD,1154,93.0338,93,3.8579,71,100
BALDWIN PARK,832,94.6815,95,3.3874,77,100
