FACILITY_ZIP,Count,Average,Median,Stdev,Min,Max
90401,318,91.4497,92,4.1173,70,99
90045,483,91.2319,92,4.4994,71,98
91351,99,93.0606,93,3.5868,80,98
90501,465,89.1849,90,5.3397,70,98
90660,317,90.2334,91,5.7346,73,99
91790,292,91.3219,92,3.8605,73,97
91007,330,89.7909,91,5.9703,70,99
90211,132,91.8258,92,2.4293,80,97
91755,66,87,90,7.3526,70,96
90291,266,91.3684,92,4.1882,78,99
91352,132,91.6212,92,3.779,70,98
90650,272,90.1618,90,4.6506,77,98
90280,397,91.3149,92,4.5275,70,98
90011,279,92.0143,93,4.3329,75,99
91791,122,91.5492,91,3.7746,77,98
90201,327,92.4924,93,3.7243,78,99
91302,72,93.1111,94,3.3893,82,98
90245,354,91.0452,91,3.3401,74,97
90249,330,89.3697,90,4.8912,74,98
91723,122,90.8443,92,4.137,74,98
91335,306,91.1013,92,5.2049,70,99
93551,168,91.244,92,5.0539,73,99
90212,187,91.615,92,3.1591,75,98
90027,403,93.1613,93,3.1262,80,99
90071,159,91.5912,92,4.0207,80,98
91754,523,87.3977,90,5.94,70,98
91214,63,92.8571,93,2.8332,85,99
90746,165,88.4121,91,6.8304,70,99
90058,85,91.1529,92,3.8882,77,98
91324,308,92.3734,93,3.8215,75,99
91748,475,89.0568,90,5.0691,71,98
90025,445,89.9888,91,5.3772,70,99
90505,521,90.0787,91,4.8024,70,98
91020,77,92.8182,93,3.1198,82,99
91773,111,94.0631,94,2.583,83,99
91411,65,91.9846,93,4.4497,80,98
90089,24,94.7083,95,2.0712,91,98
90022,373,90.1421,91,5.3503,70,99
90042,297,92.6128,93,2.7429,81,98
90242,191,91.8063,92,3.638,73,98
90015,375,91.5147,92,4.5553,72,99
90232,286,90.979,92,4.8009,70,98
90003,335,89.5313,91,4.934,71,98
90266,354,91.3898,92,4.2533,72,98
90220,128,89.9531,91,5.5928,70,99
91801,417,89.0264,91,5.2567,71,98
91042,92,91.5978,92,4.9102,71,98
90012,625,91.8832,93,4.2446,73,98
90036,472,91.5636,92,4.118,70,99
90038,186,92.4032,93,4.1574,74,99
90247,413,90.0048,91,5.551,70,99
90005,440,90.1409,91,4.6415,71,99
90017,392,91.4617,92,5.0456,71,99
91789,140,91.9857,92,3.5577,80,98
91029,3,91,94,3.559,86,94
91604,355,91.3746,92,4.3873,71,99
90047,204,91.1618,92,4.0739,75,98
90024,379,90.8206,92,4.9562,70,99
90744,208,90.4231,91,4.7932,70,99
90405,268,92.2127,93,3.9554,74,99
90638,227,91.5683,91,3.6857,74,97
90504,103,90.4078,91,4.2253,76,97
90034,281,89.9573,91,5.7093,71,98
91205,171,91.5848,92,3.6957,76,98
90008,71,90.8732,92,5.7652,73,98
90303,107,92.0561,93,4.8527,71,97
90240,136,91.3603,92,3.9976,73,97
90302,85,89.6235,91,6.0058,70,97
90706,233,91.9227,92,4.0989,74,99
91502,126,91.881,93,4.6026,77,98
91750,106,92.2547,93,3.6731,80,98
90278,162,90.5185,91,4.4972,75,97
91331,279,91.6918,92,3.6737,76,98
90731,358,90.905,91,3.7524,72,98
90007,308,92.7305,93,3.9864,75,98
90503,285,91.0982,92,4.045,74,98
90026,445,92.7663,93,3.3006,76,99
90260,174,91.4598,92,3.8081,80,99
90723,232,92.3319,93,4.1717,76,99
91605,227,90.3877,91,4.8483,70,98
90755,113,83.1858,83,7.3298,70,97
91722,145,90.9655,92,5.0887,70,98
93534,286,92.3741,93,3.5611,75,99
90044,215,90.5535,91,4.1479,73,98
91016,266,93.485,94,2.9827,80,99
91355,222,91.9369,93,4.6047,79,99
91402,260,92.0192,93,3.9482,71,98
90069,50,90,92,4.6217,80,96
91356,194,92.8557,94,4.2921,71,99
90028,560,92.4821,93,4.0364,74,99
90272,49,93.0204,94,4.0682,74,99
90250,384,91.125,91,3.8723,76,98
90221,216,90.662,92,5.1578,71,98
91780,83,92.3012,92,3.2329,80,99
91406,214,91.4393,92,5.0059,73,99
91766,203,91.601,91,3.9371,80,99
91740,144,92.6528,93,3.3733,80,99
90037,268,91.403,92,4.6858,72,98
90277,358,90.3575,91,4.9303,70,99
91765,159,92.1069,92,3.9583,74,99
90255,504,90.879,92,5.1067,72,99
91423,232,92.7586,93,3.1978,82,98
90065,191,92.4398,93,3.1632,76,98
90066,179,90.7207,91,5.2182,72,98
90703,350,89.8971,91,4.6972,71,99
91001,46,92.0435,92,3.1274,80,97
91403,165,92.1818,93,4.1535,77,98
91436,84,92.8452,93,3.74,78,99
91343,173,90.9769,91,3.4068,80,99
91505,215,92.4093,93,3.723,80,99
90301,251,91.5976,92,4.0388,71,98
93550,167,92.7186,94,3.8332,80,99
91776,348,89.4655,90,5.4852,70,98
90041,201,93.0249,93,3.2052,75,99
90004,326,92.227,93,3.9874,71,99
90701,180,89.0333,90,5.5866,70,98
90014,329,91.8207,92,4.4607,73,99
91342,180,91.3333,92,3.8658,79,97
90230,404,91.3317,91,4.3989,70,99
91311,155,91.6323,92,4.8394,70,99
91702,180,92.1056,92,3.678,80,98
90064,305,90.7311,91,5.3279,70,99
90019,349,90.8481,92,5.0925,70,99
